Tax rate,Tax amount,Taxable amount
Wine Tax - #,7401.32,76813.53
Retail Tax - #,67.48,1124.7
Liquor Tax - #,62913.39,654311.13
Beer Tax - #,80025.38,836581.07
Food Tax - #,110686.56,1845666.29
Non-Taxable Sales,0.0,1383.77
Non-Taxable Service Charges,0.0,3646.44
Tax Exempt Sales,0.0,186.0
Marketplace facilitator tax - Remitted by 3rd party,2112.28,35229.58
Marketplace facilitator tax - Remitted by restaurant,0.0,5283.79
Toast marketplace facilitator tax - Remitted by Toast,267.52,4480.8
