SALES_CATEGORY_NAME,AVERAGE_ITEM_PRICE,ITEM_QUANTITY,ITEM_NET_AMOUNT
Draft Beer,5.87,123335.50,699281.83
Liquor,9.46,69937.50,623154.91
Shareables,11.13,34661.00,366613.71
Wings,15.78,20492.00,307955.24
Bottle Beer,5.42,18903.00,98542.80
N/A Beverage,3.41,17378.00,57867.28
Sandwiches,14.13,16728.00,218889.34
Burgers,14.35,16655.00,223782.05
Baskets,15.30,12670.00,181347.95
Sides,3.96,11014.00,40082.10
Pizza,14.53,10628.00,139616.00
Add-ons,0.74,10054.00,6853.93
Tacos,12.72,8725.00,102111.02
Wine,9.24,8317.50,74214.70
Salads,12.70,7275.00,85834.41
Food,3.74,2263.00,6963.50
Desserts,9.59,1970.00,16471.01
Local Favorites,8.41,1848.67,13538.61
Breakfast,12.12,1230.00,13497.12
LTO,12.66,849.00,9533.05
Retail,17.28,117.00,1973.70
Catering,48.53,58.00,2510.00
,5.50,21.00,115.49
,266.57,395130.17,3290749.75
